u_id,u_teamid,belief1,belief2,belief3,belief4,belief5,belief6,belief7,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,stat1,stat2,stat3,stat4,stat5,stat6,stat7,pro_immigrant,Group.1,Hsup,stats,topic,belief,immig,concl
25,12,2,3,2,2,2,2,3,1,1,1,5,0,0,0,0,0,2,4,3,8,4,1,2,3,12,0,-0.09110505531677686,-0.21216256990283594,-0.3013931845984362,-1.296551724137933,-0.20975056689342383
26,12,2,3,2,2,2,2,3,1,1,1,4,0,0,0,0,0,4,4,2,1,4,1,3,3,12,0,0.1453793053218515,-0.22153281888970439,-0.30636176006673077,-1.2965517241379323,-0.20975056689342395
29,13,2,3,3,2,3,3,3,3,1,1,1,0,0,0,0,0,4,4,3,3,5,3,3,5,13,0,0.6562520767440195,-0.15974296104636954,0.009183113328318554,0.703448275862068,-0.20975056689342333
3,1,2,3,1,1,1,5,1,1,1,1,3,0,0,0,0,0,4,4,4,4,3,1,3,1,1,0,0.053475922766977095,-0.25235977591451886,-0.8601270570131789,-3.2965517241379314,-0.20975056689342403
32,16,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,3,3,3,4,4,2,3,5,16,0.5,0.07042350986177286,-0.2578767748031936,0.4340260412614367,0.7034482758620685,0.2902494331065761
33,16,4,3,4,2,2,4,3,3,2,2,5,0,0,0,0,0,4,4,3,12,5,3,3,3,16,0.5,0.8618720307518751,0.18861968424166597,0.3726736065011857,-1.296551724137931,0.29024943310657697
34,17,2,3,2,2,3,2,3,1,1,3,4,0,0,0,0,0,3,3,3,12,3,1,2,6,17,0.3333333333333333,-0.15897044247294492,-0.09883883824727893,-0.08595622835262952,1.7034482758620721,0.12358276643990874
35,18,2,3,2,2,2,2,3,1,1,3,3,1,0,0,0,0,4,4,4,1,3,1,2,3,18,0,-0.09962826457562107,-0.035351782270909266,-0.29951100481497706,-1.296551724137931,-0.2097505668934248
36,18,2,3,4,2,2,2,3,1,1,1,5,0,0,0,0,0,4,4,3,1,4,1,1,6,18,0,-0.047354057025775116,-0.22738262694295613,-0.11166930981981239,1.703448275862069,-0.20975056689342408
37,18,4,3,4,4,3,4,3,1,2,1,2,1,1,0,0,0,2,2,4,2,2,1,1,6,18,0,-0.92856727026309,0.032807708869248414,1.0154802859483678,1.7034482758620717,-0.2097505668934245
39,19,3,3,2,3,3,2,3,1,1,1,3,0,0,0,0,0,3,2,3,11,2,3,2,5,19,1,-0.43606990482245306,-0.23381927498711974,0.3174997874594944,0.7034482758620741,0.7902494331065765
4,2,2,3,2,2,3,3,3,1,2,3,2,1,0,0,0,0,4,4,4,2,5,1,3,3,2,0,0.5754153487575653,0.07219250983067586,-0.08901234658766947,-1.2965517241379345,-0.20975056689342503
40,19,2,2,2,2,2,3,3,1,2,2,5,1,0,0,0,0,3,4,3,10,4,1,3,6,19,1,0.29175332499522594,0.1280590583071096,-0.2430775838685044,1.7034482758620704,0.7902494331065764
41,20,3,3,2,2,2,3,2,1,1,2,2,0,0,0,0,0,4,4,4,4,5,3,3,5,20,0,0.7319629983689498,-0.17063837556832262,-0.13397347194571682,0.7034482758620673,-0.20975056689342472
42,20,3,3,3,3,3,3,3,1,3,1,4,0,0,0,0,0,3,4,3,3,3,1,1,5,20,0,-0.42529693758684006,-0.13391966811650982,0.4491486101181083,0.7034482758620698,-0.20975056689342403
43,21,3,2,3,3,2,4,2,3,1,2,5,1,0,0,0,0,3,4,3,6,3,1,1,5,21,1,-0.33254887123531673,0.12591547836435432,0.18286444189375392,0.7034482758620715,0.7902494331065772
44,22,3,3,2,3,2,2,3,2,2,1,3,0,0,0,0,0,4,4,4,6,5,1,3,6,22,0,0.64030805029308,-0.0899136308194173,0.14239361296528785,1.7034482758620695,-0.20975056689342317
