"id","peer_mean","peer_N"
"t41m9",4.16666666666667,6
"t41m10",4.16666666666667,6
"t41m11",4.16666666666667,6
"t41m12",4.16666666666667,6
"t42m1",5.2,5
"t42m2",5.2,5
"t43m1",4,6
"t43m2",4,6
"t43m3",4,6
"t43m4",4.22222222222222,18
"t43m5",4,6
"t43m6",4,6
"t45m1",3.88888888888889,18
"t45m2",3.88888888888889,18
"t45m3",3.88888888888889,18
"t45m4",3.88888888888889,18
"t45m5",3.88888888888889,18
"t45m6",3.88888888888889,18
"t46m1",4.42857142857143,7
"t46m2",4.42857142857143,7
"t46m3",4.42857142857143,7
"t46m4",4.42857142857143,7
"t46m5",4.42857142857143,7
"t46m6",4.42857142857143,7
"t46m7",4.42857142857143,7
"t46m8",4.42857142857143,7
"t46m9",4.42857142857143,7
"t46m10",4.42857142857143,7
"t46m11",4.42857142857143,7
"t46m12",4.42857142857143,7
"t46m13",4.42857142857143,7
"t46m14",4.42857142857143,7
"t46m15",4.42857142857143,7
"t46m16",4.42857142857143,7
"t46m17",4.42857142857143,7
"t46m18",4.42857142857143,7
"t46m19",4.42857142857143,7
"t46m20",4.42857142857143,7
"t46m21",4.42857142857143,7
"t46m22",4.42857142857143,7
"t46m23",4.42857142857143,7
"t46m24",4.42857142857143,7
"t47m1",3.14285714285714,7
"t47m2",3.14285714285714,7
"t47m3",3.14285714285714,7
"t47m4",3.14285714285714,7
"t47m5",3.14285714285714,7
"t47m6",3.14285714285714,7
"t47m7",3.14285714285714,7
"t47m8",3.14285714285714,7
"t47m9",3.14285714285714,7
"t47m10",3.14285714285714,7
"t47m11",3.14285714285714,7
"t47m12",3.14285714285714,7
"t48m1",4.14285714285714,7
"t48m2",4.14285714285714,7
"t48m3",4.14285714285714,7
"t48m4",4.14285714285714,7
"t48m5",4.14285714285714,7
"t48m6",4.14285714285714,7
"t48m7",4.14285714285714,7
"t48m8",4.14285714285714,7
"t48m9",4.14285714285714,7
"t48m10",4.14285714285714,7
"t48m11",4.14285714285714,7
"t48m12",4.14285714285714,7
"t48m13",4.14285714285714,7
"t48m14",4.14285714285714,7
"t49m1",4.33333333333333,6
"t49m2",4.33333333333333,6
"t49m3",4.33333333333333,6
"t49m4",4.33333333333333,6
"t49m5",4.33333333333333,6
"t49m6",4.33333333333333,6
"t49m7",4.33333333333333,6
"t49m8",4.33333333333333,6
"t49m9",4.33333333333333,6
"t49m10",4.33333333333333,6
"t49m11",4.33333333333333,6
"t49m12",4.33333333333333,6
"t52m1",3.83333333333333,6
"t52m2",3.83333333333333,6
"t52m3",3.83333333333333,6
"t52m4",3.83333333333333,6
"t52m5",3.83333333333333,6
"t52m6",3.83333333333333,6
"t52m7",3.83333333333333,6
"t52m8",3.83333333333333,6
"t52m9",3.83333333333333,6
"t52m10",3.83333333333333,6
"t52m11",3.83333333333333,6
"t52m12",3.83333333333333,6
"t52m13",3.83333333333333,6
"t52m14",3.83333333333333,6
"t52m15",3.83333333333333,6
"t52m16",3.83333333333333,6
"t52m17",3.83333333333333,6
"t52m18",3.83333333333333,6
"t52m19",3.83333333333333,6
"t52m20",3.83333333333333,6
"t52m21",3.83333333333333,6
"t52m22",3.83333333333333,6
"t52m23",3.83333333333333,6
"t52m24",3.83333333333333,6
"t52m25",3.83333333333333,6
"t52m26",3.83333333333333,6
"t52m27",3.83333333333333,6
"t52m28",3.83333333333333,6
"t52m29",3.83333333333333,6
"t52m30",3.83333333333333,6
"t52m31",3.83333333333333,6
"t52m32",3.83333333333333,6
"t52m33",3.83333333333333,6
"t52m34",3.83333333333333,6
"t52m35",3.83333333333333,6
"t52m36",3.83333333333333,6
"t54m1",4.2,5
"t54m2",4.2,5
"t54m3",4.2,5
"t54m4",4.2,5
"t54m5",4.2,5
"t54m6",4.2,5
"t54m7",4.2,5
"t54m8",4.2,5
"t54m9",4.2,5
"t54m10",4.2,5
"t54m11",4.2,5
"t54m12",4.2,5
"t56m1",4.15384615384615,13
"t56m2",4.15384615384615,13
"t58m1",4.4,5
"t58m2",4.4,5
"t58m3",4.4,5
"t58m4",4.4,5
"t58m5",4.4,5
"t58m6",4.4,5
"t58m7",4.4,5
"t58m8",4.4,5
"t58m9",4.4,5
"t58m10",4.4,5
"t58m11",4.4,5
"t58m12",4.4,5
"t58m13",4.4,5
"t58m14",4.4,5
"t58m15",4.4,5
"t58m16",4.4,5
"t58m17",4.4,5
"t58m18",4.4,5
"t58m19",4.4,5
"t58m20",4.4,5
"t58m21",4.4,5
"t58m22",4.4,5
"t58m23",4.4,5
"t58m24",4.4,5
"t58m25",4.4,5
"t58m26",4.4,5
"t58m27",4.4,5
"t58m28",4.4,5
"t58m29",4.4,5
"t58m30",4.4,5
"t58m31",4.4,5
"t58m32",4.4,5
"t58m33",4.4,5
"t58m34",4.4,5
"t58m35",4.4,5
"t58m36",4.4,5
"t59m1",4.66666666666667,6
