dv,testvar,spec,ctrl,coef,tstat
ame,group1,yes,topic_brw t2,-.0497506579634366,-1.521648134300954
ame,group1,yes,topic_brw t3,-.0465413861566578,-1.514687621221029
ame,group1,yes,topic_brw i.mdegree,-.0844400294497929,-2.3434755495718
ame,group1,yes,t2 t3,-.0452401808001283,-1.46437176279136
ame,group1,yes,t2 i.mdegree,-.083658555239918,-2.378618151540219
ame,group1,yes,t3 i.mdegree,-.0790906036444221,-2.197155996118244
ame,group1,yes,stats_brw topic_brw t2,-.0329276656064457,-1.152682779913766
ame,group1,yes,stats_brw topic_brw t3,-.0317141037671812,-1.154552299303226
ame,group1,yes,stats_brw topic_brw i.mdegree,-.0703251695488536,-2.445228265884424
ame,group1,yes,stats_brw t2 t3,-.0390297790201219,-1.403509820536847
ame,group1,yes,stats_brw t2 i.mdegree,-.0761911193223539,-2.535601111964115
ame,group1,yes,stats_brw t3 i.mdegree,-.0723573632958118,-2.316527121601899
ame,group1,yes,topic_brw t2 t3,-.05164163346371,-1.601732790220187
ame,group1,yes,topic_brw t2 i.mdegree,-.0903810871711539,-2.418803609628349
ame,group1,yes,topic_brw t3 i.mdegree,-.0850213975474193,-2.27295465074008
ame,group1,yes,t2 t3 i.mdegree,-.0817719016698162,-2.215156584408606
ame,group1,yes,stats_brw topic_brw t2 t3,-.0349219325342335,-1.246960840841586
ame,group1,yes,stats_brw topic_brw t2 i.mdegree,-.0734734500644971,-2.550389211910373
ame,group1,yes,stats_brw topic_brw t3 i.mdegree,-.0708311604366844,-2.447961231246112
ame,group1,yes,stats_brw t2 t3 i.mdegree,-.0739184113181377,-2.297746238286227
ame,group1,yes,topic_brw t2 t3 i.mdegree,-.089254981862283,-2.302755517173138
ame,group1,yes,stats_brw topic_brw t2 t3 i.mdegree,-.0726962720470778,-2.384295837652141
ame,group3,yes,,.0256317177928723,1.314131240263898
ame,group3,yes,stats_brw,.0236042723968995,1.27767438477614
ame,group3,yes,topic_brw,.0259472608975438,1.350886764392194
ame,group3,yes,t2,.0270175645059908,1.414174235953042
ame,group3,yes,t3,.0271970220476473,1.442936102057234
ame,group3,yes,i.mdegree,.0479390264873158,2.433243692474369
ame,group3,yes,stats_brw topic_brw,.0196653604121277,1.170707693971283
ame,group3,yes,stats_brw t2,.0251178599495146,1.388579782684787
ame,group3,yes,stats_brw t3,.0252791039828075,1.412970394224426
ame,group3,yes,stats_brw i.mdegree,.04458752410458,2.481146083386127
ame,group3,yes,topic_brw t2,.0272889360143006,1.439397677346752
ame,group3,yes,topic_brw t3,.0273938218048281,1.46466969776301
ame,group3,yes,topic_brw i.mdegree,.0469573741836061,2.434973321870631
ame,group3,yes,t2 t3,.0273177195947728,1.440963283861203
ame,group3,yes,t2 i.mdegree,.0511517151143912,2.629040675144855
ame,group3,yes,t3 i.mdegree,.0468933193171219,2.415101567679921
ame,group3,yes,stats_brw topic_brw t2,.0214451739234707,1.281420177298195
ame,group3,yes,stats_brw topic_brw t3,.0214939581692217,1.302809710034926
ame,group3,yes,stats_brw topic_brw i.mdegree,.0359986100649517,2.356605635250451
ame,group3,yes,stats_brw t2 t3,.0254151416730838,1.414031598439387
ame,group3,yes,stats_brw t2 i.mdegree,.0480837488032331,2.734261064253517
ame,group3,yes,stats_brw t3 i.mdegree,.0435991132817652,2.464550496592907
ame,group3,yes,topic_brw t2 t3,.0275543210035997,1.462466853573202
ame,group3,yes,topic_brw t2 i.mdegree,.0500624683656006,2.563935055882963
ame,group3,yes,topic_brw t3 i.mdegree,.0462543712106892,2.394521989705264
ame,group3,yes,t2 t3 i.mdegree,.0512918295404713,2.594356506117677
ame,group3,yes,stats_brw topic_brw t2 t3,.0217492107566237,1.304887089082628
ame,group3,yes,stats_brw topic_brw t2 i.mdegree,.039808620741279,2.529883677647387
ame,group3,yes,stats_brw topic_brw t3 i.mdegree,.0359363807477462,2.305786585491479
ame,group3,yes,stats_brw t2 t3 i.mdegree,.0481925006009213,2.687303209079232
ame,group3,yes,topic_brw t2 t3 i.mdegree,.0502239750722884,2.541359503266492
ame,group3,yes,stats_brw topic_brw t2 t3 i.mdegree,.0400273699124893,2.532508588250705
ame,group1,no,,-.0320004584008928,-1.042158087342684
ame,group3,no,,.0184316146526713,.9275678083987945
ame,group1,no,stats_brw,-.0271404770846458,-.9337446205985562
ame,group3,no,stats_brw,.0178440060414508,.9107586027563906
ame,group1,no,topic_brw,-.0382781020834861,-1.229888530384634
ame,group3,no,topic_brw,.0173602917600559,.9058851901475904
ame,group1,no,t2,-.031677304489747,-.9864656275442822
ame,group3,no,t2,.0186026961350426,.9807820534748665
ame,group1,no,t3,-.0300817989830402,-1.008631392506056
ame,group3,no,t3,.0200255778613488,1.070604646603108
ame,group1,no,i.mdegree,-.0619631613463644,-1.849456558233787
ame,group3,no,i.mdegree,.0372104400897724,1.996510518413462
ame,group1,no,stats_brw topic_brw,-.0263539430635119,-.899413353477131
ame,group3,no,stats_brw topic_brw,.0140817932176893,.8005334714720322
ame,group1,no,stats_brw t2,-.0253958971848505,-.8464368154355246
ame,group3,no,stats_brw t2,.0186976180378612,.9858029693188866
ame,group1,no,stats_brw t3,-.0245136678202617,-.8800892146549578
ame,group3,no,stats_brw t3,.0197350809218781,1.060323643644371
ame,group1,no,stats_brw i.mdegree,-.0567107719975388,-1.85389873171525
ame,group3,no,stats_brw i.mdegree,.0354660261145397,1.957788379003985
ame,group1,no,topic_brw t2,-.0391157982057617,-1.188830187454377
ame,group3,no,topic_brw t2,.0169211796776499,.918467668543079
ame,group1,no,topic_brw t3,-.0366637032162559,-1.202026484229194
ame,group3,no,topic_brw t3,.0186692006109818,1.028605861918976
ame,group1,no,topic_brw i.mdegree,-.0688555507625105,-1.985285952075191
ame,group3,no,topic_brw i.mdegree,.0348734984470432,2.008148631805583
ame,group1,no,t2 t3,-.0337267921074021,-1.064245098856014
ame,group3,no,t2 t3,.0184503724021735,.9674344029066162
ame,group1,no,t2 i.mdegree,-.0628115015873078,-1.908161873776028
ame,group3,no,t2 i.mdegree,.0366204664255641,2.211015845812545
ame,group1,no,t3 i.mdegree,-.0632938729261716,-1.864326050451526
ame,group3,no,t3 i.mdegree,.0354390191214004,2.064948347541581
